ticker,n_trades,outcome,p,d,q,arima_order,aic,adf_p,lb_p,rmse,mae,random_walk
KXNBASPREAD-26APR02SASLAC-LAC5,296,0,2,1,2,"ARIMA(2,1,2)",-1590.9,0.0673,0.969,0.0961,0.082,Yes
KXNBA1HSPREAD-26APR02MINDET-DET4,294,0,0,1,1,"ARIMA(0,1,1)",-958.13,0.6133,0.4125,0.3614,0.2981,Yes
KXNBATOTAL-26APR02CLEGSW-241,291,0,0,1,2,"ARIMA(0,1,2)",-1513.07,0.4285,0.8039,0.0684,0.0555,Yes
KXCS2GAME-26APR021900BOSSREGAIN-REGAIN,279,0,0,1,4,"ARIMA(0,1,4)",-1074.48,0.4818,0.0081,0.0721,0.0538,No
KXNCAAHOCKEY-26-UMD,278,0,2,1,2,"ARIMA(2,1,2)",-1274.36,0.1221,0.859,0.038,0.0291,Yes
KXMLBHR-26APR022140ATLAZ-ATLRACUNA13-1,273,0,1,1,2,"ARIMA(1,1,2)",-1266.6,0.3995,0.0751,0.0933,0.082,Yes
KXMLBHR-26APR021410MINKC-KCJCAGLIANONE14-1,258,0,3,1,2,"ARIMA(3,1,2)",-1423.34,0.9545,0.0025,0.1045,0.0858,No
KXNBASPREAD-26APR02NOPPOR-POR13,245,0,0,1,2,"ARIMA(0,1,2)",-1007.22,0.3538,0.7444,0.1288,0.1191,Yes
KXCS2GAME-26APR021000FDBLAR-LAR,240,0,0,1,0,"ARIMA(0,1,0)",-709.5,0.4958,0.9624,0.3974,0.3594,Yes
KXMLBHR-26APR021410MINKC-KCBWITT7-1,225,0,1,1,1,"ARIMA(1,1,1)",-977.41,0.3834,0.6111,0.146,0.1393,Yes
KXTHAILANDPM-26FEB08-ACHA,222,1,2,1,4,"ARIMA(2,1,4)",-675.61,0.6614,1,0.0637,0.0564,Yes
KXUE-RUS26FEB-2.2,221,0,3,1,2,"ARIMA(3,1,2)",-1008.07,0.0826,0.0968,0.0568,0.0397,Yes
KXNBA1HTOTAL-26APR02MINDET-115,220,0,1,1,1,"ARIMA(1,1,1)",-453.03,0.0186,0.9896,0.2335,0.2065,Yes
KXNBAPTS-26APR02PHXCHA-PHXDBOOKER1-25,214,0,0,1,3,"ARIMA(0,1,3)",-615.61,0.8369,0.0397,0.3819,0.3233,No
KXMLBHR-26APR021410MINKC-KCVPASQUANTINO9-1,211,0,5,2,3,"ARIMA(5,2,3)",-1276.65,0.99,0.6048,0.0839,0.0638,Yes
KXNBA2D-26APR02SASLAC-SASSCASTLE5,209,0,4,0,0,"ARIMA(4,0,0)",-511.15,0.954,0.6123,0.1716,0.1192,No
KXNBAPTS-26APR02SASLAC-SASSCASTLE5-20,205,1,0,1,2,"ARIMA(0,1,2)",-577.03,0.9677,0.8921,0.3792,0.3177,Yes
KXCS2GAME-26APR021000FDBLAR-FDB,203,1,1,1,1,"ARIMA(1,1,1)",-547.15,0.2914,0.9888,0.199,0.181,Yes
KXNCAAHOCKEY-26-MSU,203,0,4,1,3,"ARIMA(4,1,3)",-774.34,0.0118,0.9965,0.0733,0.047,Yes
KXUE-MEX26FEB-2.4,203,1,3,1,0,"ARIMA(3,1,0)",-466.32,0.0294,0.4918,0.1676,0.1022,Yes
KXMLBHR-26APR021410MINKC-MINBBUXTON25-1,202,0,0,1,2,"ARIMA(0,1,2)",-1159.77,0.99,0.0414,0.0461,0.0356,No
KXNBASPREAD-26APR02CLEGSW-CLE16,193,0,5,1,1,"ARIMA(5,1,1)",-818.86,0.3706,0.9246,0.0514,0.0406,Yes
KXNBASPREAD-26APR02NOPPOR-NOP5,190,0,1,1,0,"ARIMA(1,1,0)",-850.5,0.5116,0.5541,0.0635,0.0576,Yes
KXNBAPTS-26APR02MINDET-MINJRANDLE30-25,186,1,0,1,1,"ARIMA(0,1,1)",-486.13,0.2191,0.0114,0.3031,0.2711,No
KXNBATOTAL-26APR02CLEGSW-238,185,0,1,1,1,"ARIMA(1,1,1)",-826.1,0.5023,0.4956,0.0857,0.0741,Yes
KXNBA1HSPREAD-26APR02MINDET-MIN2,183,0,0,1,0,"ARIMA(0,1,0)",-314.41,0.2834,0.0178,0.3739,0.3314,No
KXNBASPREAD-26APR02SASLAC-LAC11,183,0,2,2,2,"ARIMA(2,2,2)",-1091.72,0.8726,0.9564,0.0849,0.0749,Yes
KXUE-MEX26FEB-2.5,182,1,0,1,0,"ARIMA(0,1,0)",-408.5,0.99,0.9887,0.3843,0.2216,Yes
KXNBA1HTOTAL-26APR02MINDET-118,180,0,0,1,1,"ARIMA(0,1,1)",-376.7,0.1808,0.0859,0.1201,0.1097,Yes
KXNBASPREAD-26APR02NOPPOR-NOP8,175,0,1,1,0,"ARIMA(1,1,0)",-845.85,0.7788,0.4986,0.068,0.0593,Yes
KXNBAPTS-26APR02SASLAC-SASSCASTLE5-15,172,1,1,0,0,"ARIMA(1,0,0)",-420.89,0.6259,0.0393,0.327,0.2797,No
KXMLBHR-26APR022140ATLAZ-ATLMOLSON28-1,165,1,0,1,1,"ARIMA(0,1,1)",-365.31,0.99,6e-4,0.6778,0.5861,No
KXNBASPREAD-26APR02SASLAC-LAC8,163,0,1,2,1,"ARIMA(1,2,1)",-871.3,0.4258,0.49,0.0691,0.0552,Yes
KXMLBHR-26APR022140ATLAZ-AZCCARROLL7-1,161,0,1,2,2,"ARIMA(1,2,2)",-1038,0.99,0.7428,0.0614,0.046,Yes
KXNBA1HTOTAL-26APR02PHXCHA-117,159,1,0,1,1,"ARIMA(0,1,1)",-259.35,0.4611,0.0034,0.0544,0.0518,No
KXNCAAHOCKEY-26-WMU,155,0,2,0,2,"ARIMA(2,0,2)",-843.85,0.6504,0.7969,0.0415,0.0335,No
KXNBAPTS-26APR02SASLAC-SASDFOX4-25,154,0,0,1,1,"ARIMA(0,1,1)",-318.8,0.8204,0.8857,0.3156,0.289,Yes
KXNBASPREAD-26APR02CLEGSW-CLE19,152,0,1,1,0,"ARIMA(1,1,0)",-709.4,0.5175,0.9317,0.0224,0.0148,Yes
KXMLBHR-26APR022140ATLAZ-AZKMARTE4-1,141,0,2,2,1,"ARIMA(2,2,1)",-923.5,0.99,0.1345,0.0785,0.0603,Yes
KXNBASPREAD-26APR02CLEGSW-CLE22,141,0,0,1,3,"ARIMA(0,1,3)",-803.25,0.4882,0.7389,0.0793,0.0765,Yes
KXMLBKS-26APR022140ATLAZ-ATLRLPEZ40-5,136,0,3,1,0,"ARIMA(3,1,0)",-383.42,0.1689,0.2833,0.2295,0.1528,Yes
KXNBA1HTOTAL-26APR02NOPPOR-126,134,0,1,1,3,"ARIMA(1,1,3)",-168.26,0.8227,0.925,0.651,0.6348,Yes
KXMLBHR-26APR022140ATLAZ-ATLARILEY27-1,133,0,2,1,2,"ARIMA(2,1,2)",-622.89,0.7559,0.1866,0.088,0.0636,Yes
KXNBASPREAD-26APR02CLEGSW-CLE25,133,0,0,1,1,"ARIMA(0,1,1)",-752.4,0.5802,0.8158,0.036,0.0315,Yes
KXNBAAST-26APR02PHXCHA-PHXDBOOKER1-6,132,1,2,1,1,"ARIMA(2,1,1)",-416.54,0.7813,0.2383,0.2867,0.2567,Yes
KXNBAPTS-26APR02PHXCHA-CHALBALL1-20,132,0,0,1,2,"ARIMA(0,1,2)",-376.38,0.99,0.2354,0.2453,0.1811,Yes
KXUE-BR26FEB-5.3,129,1,0,1,2,"ARIMA(0,1,2)",-190.49,0.0734,0.1614,0.1298,0.1059,Yes
KXNBA1HWINNER-26APR02CLEGSW-CLE,128,1,0,1,1,"ARIMA(0,1,1)",-433.43,0.0925,0.8803,0.0757,0.067,Yes
KXMARMADROUND-26T2-NEB,125,0,5,1,0,"ARIMA(5,1,0)",-482.23,0.4395,0.1344,0.0255,0.0188,Yes
KXNBA1HTOTAL-26APR02NOPPOR-123,124,1,1,1,1,"ARIMA(1,1,1)",-288.82,0.5852,0.5478,0.2952,0.2479,Yes
KXNBAPTS-26APR02NOPPOR-NOPZWILLIAMSON1-20,119,0,2,1,1,"ARIMA(2,1,1)",-245.46,0.4706,0.576,0.2334,0.2097,Yes
KXNCAAHOCKEY-26-QUI,118,0,1,1,2,"ARIMA(1,1,2)",-527.29,0.3436,0.5789,0.0353,0.0262,Yes
KXUE-JPN26FEB-2.6,118,0,1,1,2,"ARIMA(1,1,2)",-208.44,0.7086,0.2441,0.2002,0.1533,Yes
KXMLBHR-26APR021410MINKC-KCSPEREZ13-1,117,0,0,1,0,"ARIMA(0,1,0)",-656.91,0.9847,0.0267,0.1122,0.1049,No
KXUE-BR26FEB-5.4,113,1,0,1,1,"ARIMA(0,1,1)",-263.25,0.3813,0.7929,0.0665,0.058,Yes
KXNBAPTS-26APR02NOPPOR-NOPDQUEEN22-10,111,1,0,1,1,"ARIMA(0,1,1)",-255.72,0.7989,0.4771,0.4376,0.4054,Yes
KXNBAPTS-26APR02MINDET-DETDROBINSON55-15,108,1,0,1,1,"ARIMA(0,1,1)",-229.67,0.7183,0.8729,0.7345,0.7168,Yes
KXNBAPTS-26APR02PHXCHA-PHXDBOOKER1-30,107,0,3,1,2,"ARIMA(3,1,2)",-314.9,0.99,0.754,0.2613,0.1742,Yes
KXALBUMRELEASEDATELUCKI-APR01-26,106,0,5,1,1,"ARIMA(5,1,1)",-123.32,0.01,0.0049,0.1024,0.0956,No
KXNBAPTS-26APR02MINDET-MINDDIVINCENZO0-15,105,0,0,1,1,"ARIMA(0,1,1)",-451.05,0.2652,0.9904,0.0493,0.0292,Yes
KXNBAPTS-26APR02PHXCHA-PHXDBROOKS3-20,104,0,1,0,0,"ARIMA(1,0,0)",-270.43,0.0632,0.0701,0.195,0.1576,No
KXMLBHR-26APR021410MINKC-KCMGARCIA11-1,103,0,0,2,1,"ARIMA(0,2,1)",-704.12,0.9719,0.0045,0.0435,0.0295,No
KXNBA1HWINNER-26APR02CLEGSW-GSW,103,0,1,1,0,"ARIMA(1,1,0)",-380.37,0.9158,0.8438,0.1606,0.1428,Yes
KXNBAREB-26APR02PHXCHA-PHXJGREEN4-4,103,1,0,1,1,"ARIMA(0,1,1)",-357.27,0.99,0.0028,0.2881,0.2214,No
KXNCAAHOCKEY-26-PSU,102,0,0,1,1,"ARIMA(0,1,1)",-505.48,0.01,0.3867,0.0243,0.0205,Yes
KXNBAPTS-26APR02MINDET-MINJRANDLE30-20,100,1,0,1,1,"ARIMA(0,1,1)",-409.91,0.3427,0.3897,0.085,0.082,Yes
KXMLBHIT-26APR021410MINKC-KCBWITT7-1,99,1,1,0,1,"ARIMA(1,0,1)",-109.94,0.6161,0.8513,0.4827,0.4621,No
KXMLBHRR-26APR022140ATLAZ-AZCCARROLL7-2,97,0,3,0,2,"ARIMA(3,0,2)",-267.58,0.99,1,0.1978,0.0933,No
KXNBAPTS-26APR02PHXCHA-PHXDBROOKS3-15,97,0,2,0,1,"ARIMA(2,0,1)",-190.99,0.2037,0.9631,0.2391,0.17,No
KXMLBKS-26APR022140ATLAZ-AZRNELSON19-5,93,0,3,1,1,"ARIMA(3,1,1)",-258.91,0.4909,0.8401,0.2718,0.1883,Yes
KXNBA1HSPREAD-26APR02NOPPOR-POR6,93,0,1,1,1,"ARIMA(1,1,1)",-202.74,0.3217,0.5247,0.1489,0.1332,Yes
KXMLBHR-26APR022140ATLAZ-ATLMHARRIS23-1,91,0,4,1,0,"ARIMA(4,1,0)",-346.56,0.9009,0.7754,0.0902,0.0837,Yes
KXNBA1HTOTAL-26APR02MINDET-106,89,1,0,1,0,"ARIMA(0,1,0)",-251.11,0.3258,0.5411,0,0,Yes
KXNBAPTS-26APR02SASLAC-SASDHARPER2-15,88,1,0,1,1,"ARIMA(0,1,1)",-261.71,0.9817,0.6461,0.2533,0.2073,Yes
KXNCAAHOCKEY-26-PRO,87,0,0,1,2,"ARIMA(0,1,2)",-340.87,0.0286,0.4314,0.0204,0.0139,Yes
KXNBA1HSPREAD-26APR02PHXCHA-PHX6,86,0,0,1,1,"ARIMA(0,1,1)",-183.86,0.728,0.8233,0.1897,0.1409,Yes
KXUE-JPN26FEB-2.7,86,0,2,1,2,"ARIMA(2,1,2)",-158.11,0.0884,0.9999,0.2209,0.1023,Yes
KXNBAPTS-26APR02PHXCHA-CHABMILLER24-20,85,0,0,1,1,"ARIMA(0,1,1)",-103.09,0.3036,0.8196,0.1717,0.1047,Yes
KXNBAPTS-26APR02PHXCHA-CHAKKNUEPPEL7-20,84,1,0,1,1,"ARIMA(0,1,1)",-158.97,0.6677,0,0.119,0.1165,No
KXCS2MAP-26APR021000FDBLAR-2-LAR,83,0,2,1,0,"ARIMA(2,1,0)",-133.86,0.886,0.9453,0.5254,0.432,Yes
KXNBA1HSPREAD-26APR02NOPPOR-NOP6,83,0,1,0,1,"ARIMA(1,0,1)",-64.15,0.4835,0.2003,0.3718,0.3411,No
KXNBA1HTOTAL-26APR02PHXCHA-123,83,1,1,1,0,"ARIMA(1,1,0)",-175.86,0.2636,0.8335,0.2998,0.2559,Yes
